Brand	Model	NEMA	Body Length (mm)	Step Angle (deg)	Rated Current (A)	Holding Torque (N-cm)	Inductance (mH)	Resistance (ohms)	Rotor Inertia (g-cm^2)	Comments (semicolon separated)
KeliMotor	BJ42D41-14V19	17	60	1,8	2	65	2,8	1,1	128	Preinstalled with GT2 pulley; ELEGOO Centauri A/B; https://s3.devminer.xyz/archive/BJ42D41-14V19%20drawing.pdf
KeliMotor	BJ42D41-Y2V01	17	59	1,8	1.5	80	6,9	3	110
KeliMotor	BJ42D41-Y3V01	17	59	1,8	2	72	3,7	1,8	110
KeliMotor	BJ42D41-Y4V01	17	59	1,8	2.5	80	2,4	1	110
KeliMotor	BJ42D22-25V04	17	40	1,8	1,2	40	6	2,9	57	Preinstalled with GT2 pulley; ELEGOO Centauri Z; https://s3.devminer.xyz/archive/BJ42D22-25V04%20drawing.pdf
KeliMotor	BJ42D22-23V01	17	40	1,8	1,0	37	6,9	2,8	57	https://s3.devminer.xyz/archive/KeliMotor_BJ42D22-23V01.png
KeliMotor	BJY36D12-04V28	14	20,5	1,8	1,2	10	1,2	2,0	17	Preinstalled Involute 10T gear (0.5mm modulus, 20deg pressure angle); ELEGOO Centauri Extruder; https://s3.devminer.xyz/archive/BJY36D12-04V28%20drawing.pdf
KeliMotor	BJY36D12-04V01	14	20,5	1,8	1	11	1,3	2,0	17	Bambulab X1/P1 extruder; 9T helical gear
KeliMotor	BJY36d13-01V01	14	20	1.8	1,0	19	3.4	3.2	11	12T pinion gear; Creality K1 series extruder; https://s3.devminer.xyz/archive/Creativity_BJY36d13-01V01.webp
KeliMotor	BJ42D29-100V02	17	48	1,8	2,0	45	1,9	1,1	76	Bambulab X1/P1 A/B; https://s3.devminer.xyz/archive/BJ42D29-100V02%20drawing.pdf
KeliMotor	BJ42D22-23V47	17	40	1,8	1,0	37	6,9	2,8	57	Bambulab X1/P1 Z; https://s3.devminer.xyz/archive/BJ42D22-24V47%20drawing.pdf
KeliMotor	BJ42D29-28V17	17	48	1,8	1,5	41	2,6	1,4	76	QIDI Plus 4 A/B; Preinstalled with GT1.5 pulley
KeliMotor	BJY36D15-01V01	14	20,5	1,8	1	22	5	4,3	31	
KeliMotor	BJ42D15-26V02	17	34	1,8	0,84	28	8.8	6	38	https://s3.devminer.xyz/archive/KeliMotor_BJ42D15-26V02%20drawing.pdf
KeliMotor	BJ42D15-26V09	17	34	1,8	0,84	38	8.8	6	38	Apparently identical to BJ42D16-26V09; https://s3.devminer.xyz/archive/KeliMotor_BJ42D15-26V09.png
KeliMotor	BJ42D15-26V10	17	34	1,8	0,84	28	8.8	6	38	Preinstalled with GT2 pulley; https://s3.devminer.xyz/archive/KeliMotor_BJ42D15-26V10.pdf
KeliMotor	BJ42D15-26V12	17	34	1,8	0,84	38	8,8	6	38	Ender 3 S1 (and more, probably)
KeliMotor	BJ42D16-26V09	17	34	1,8	0,84	38	8.8	6	57	Apparently identical to BJ42D15-26V09
KeliMotor	BJ42D09-20V02	17	26	1,8	0,84	15	3	1,75	30	Creality Sprite Extruder
KeliMotor	BJ42D29-76V01	17	48	1,8	4	56	0,7	0,4	76	FLSun T1 Pro A/B/C; Preinstalled with GT2 30T pulley; https://s3.devminer.xyz/archive/BJ42D29-76V01%20Drawing.pdf
KeliMotor	BJY36D12-04V24	14	20	1,8	1,2	10	1,2	2	17	Snapmaker U1 Extruder;9T Helical Gear;https://s3.devminer.xyz/archive/BJY36D12-04V24-drawing.pdf
